#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
1,01/09/2023 00:30:00,5.62,96.47,5.10,,,
2,01/09/2023 00:35:00,5.71,96.53,5.21,,,
3,01/09/2023 00:40:00,5.72,96.53,5.22,,,
4,01/09/2023 00:45:00,5.71,96.52,5.21,,,
5,01/09/2023 00:50:00,5.75,96.50,5.24,,,
6,01/09/2023 00:55:00,5.77,96.53,5.26,,,
7,01/09/2023 01:00:00,5.78,96.49,5.27,,,
8,01/09/2023 01:05:00,5.76,96.49,5.25,,,
9,01/09/2023 01:10:00,5.75,96.51,5.24,,,
10,01/09/2023 01:15:00,5.74,96.50,5.23,,,
11,01/09/2023 01:20:00,5.74,96.48,5.22,,,
12,01/09/2023 01:25:00,5.75,96.50,5.24,,,
13,01/09/2023 01:30:00,5.76,96.51,5.25,,,
14,01/09/2023 01:35:00,5.77,96.52,5.26,,,
15,01/09/2023 01:40:00,5.84,96.58,5.35,,,
16,01/09/2023 01:45:00,5.91,96.60,5.41,,,
17,01/09/2023 01:50:00,5.94,96.61,5.45,,,
18,01/09/2023 01:55:00,5.89,96.56,5.39,,,
19,01/09/2023 02:00:00,5.92,96.55,5.42,,,
20,01/09/2023 02:05:00,5.89,96.54,5.38,,,
21,01/09/2023 02:10:00,5.84,96.49,5.33,,,
22,01/09/2023 02:15:00,5.85,96.51,5.35,,,
23,01/09/2023 02:20:00,5.86,96.55,5.36,,,
24,01/09/2023 02:25:00,5.90,96.55,5.39,,,
25,01/09/2023 02:30:00,5.91,96.55,5.40,,,
26,01/09/2023 02:35:00,5.91,96.56,5.41,,,
27,01/09/2023 02:40:00,5.97,96.58,5.47,,,
28,01/09/2023 02:45:00,5.97,96.62,5.48,,,
29,01/09/2023 02:50:00,5.99,96.57,5.49,,,
30,01/09/2023 02:55:00,5.97,96.57,5.47,,,
31,01/09/2023 03:00:00,6.00,96.58,5.51,,,
32,01/09/2023 03:05:00,6.01,96.60,5.52,,,
33,01/09/2023 03:10:00,6.08,96.59,5.58,,,
34,01/09/2023 03:15:00,6.13,96.62,5.64,,,
35,01/09/2023 03:20:00,6.19,96.64,5.70,,,
36,01/09/2023 03:25:00,6.20,96.67,5.71,,,
37,01/09/2023 03:30:00,6.28,96.68,5.80,,,
38,01/09/2023 03:35:00,6.30,96.68,5.82,,,
39,01/09/2023 03:40:00,6.38,96.68,5.89,,,
40,01/09/2023 03:45:00,6.42,96.72,5.94,,,
41,01/09/2023 03:50:00,6.49,96.71,6.01,,,
42,01/09/2023 03:55:00,6.54,96.68,6.06,,,
43,01/09/2023 04:00:00,6.60,96.73,6.13,,,
